Entity,Code,Year,Both genders
Ghana,GHA,2013,5.8512797
Ghana,GHA,2014,5.8819504
Ghana,GHA,2015,5.912621
Ghana,GHA,2016,6.0165606
Ghana,GHA,2017,6.1205
Ghana,GHA,2018,6.317842
Ghana,GHA,2019,6.515184
Ghana,GHA,2020,6.7125263
Ghana,GHA,2021,6.9098682
Nigeria,NGA,2013,6.347104
Nigeria,NGA,2014,6.563106
Nigeria,NGA,2015,6.779108
Nigeria,NGA,2016,6.99511
Nigeria,NGA,2017,6.957065
Nigeria,NGA,2018,6.91902
Nigeria,NGA,2019,7.19197
Nigeria,NGA,2020,7.38897
Nigeria,NGA,2021,7.58597
Senegal,SEN,2013,2.78
Senegal,SEN,2014,2.655935
Senegal,SEN,2015,2.53187
Senegal,SEN,2016,2.89194
Senegal,SEN,2017,2.83
Senegal,SEN,2018,2.99835
Senegal,SEN,2019,2.84146
Senegal,SEN,2020,2.887632
Senegal,SEN,2021,2.934554
